,게임이름,링크,이미지,소개
0,투 포인트 캠퍼스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012757,https://cdn.gamemeca.com/gmdb/g001/27/57/gm995011_220809-2.jpg,"'투 포인트 캠퍼스'는 병원 경영 시뮬레이션으로 유명한 투 포인트 호스피탈의 차기작이다. 그냥 보기에는 평온해보이는 캠퍼스 경영 시뮬레이션처럼 보이지만, 실상은 전작과 비슷하게 온갖 독특하고 나사 빠진 요소들이 한가득하다. "
1,그림 가디언즈: 더블 퍼지,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012756,https://cdn.gamemeca.com/gmdb/g001/27/56/gm663841_220809-risell-uu7.jpg,"그림 가디언즈는 악마의 성으로 변해버린 학교를 원래대로 되돌리기 위해 고군분투하는 악마 헌터 자매의 여정을 다룬다. 언니 ‘카미조노 시노부’는 총을 쏘는 원거리 공격에 능하며, 동생 ‘카미조노 마야’는 근접공격과 종이접기를 활용한 보조능력을 지녔다. 거대한 학을 접어서 학을 딛고 먼 곳으로 넘어가거나, 종이인형을 접어 방어막처럼 두르는 식이다."
2,플레이트업!,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012755,https://cdn.gamemeca.com/gmdb/g001/27/55/gm622218_220808-2.jpg,"‘플레이트업!'은 혼란스러운 주방과 레스토랑 경영을 동시에 하는 쿠킹 액션 로그라이트 게임이다. 최대 4명의 플레이어가 가게 오픈을 준비해 손님에게 주문받고 요리부터 서빙까지 하면서 하루를 마무리한다. 단, 손님이 원하는 시간 안에 음식을 내놓지 못하면 가게는 폐업한다."
3,아랑전설(2022),https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012754,https://cdn.gamemeca.com/gmdb/g001/27/54/gm417465_220808-risell-uu3.jpg,"아랑전설은 1991년에 시작되어 스트리트 파이터와 함께 90년대 대전격투게임 붐을 견인했다. 1999년에 출시된 ‘아랑 마크 오브 더 울브스’ 이후 새로운 게임이 나오지 않으며 명맥이 끊겼고, 약 20년 뒤 최신작 개발 소식이 전해지며 다시금 물망에 올랐다. 티저 영상에는 락 하워드 등 3인이 등장한다  "
4,하드 웨스트 2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012753,https://cdn.gamemeca.com/gmdb/g001/27/53/gm339045_220808-4.jpg,"하드 웨스트 2는 초자연적 요소가 살아있는 기괴한 서부 세계관과 엑스컴 스타일 턴제 전투를 조합해 주목받았던 하드 웨스트의 후속작이다. 금광을 찾아 떠난 아버지와 아들의 이야기를 그린 전작과 달리 이번엔 황금을 가득 실었다는 소문이 들리는 유령 열차 탈취를 노린 강도단이 주인공이며, 열차에서 만난 악마로 인해 생긴 이야기를 다루고 있다."
5,모추어리 어시스턴트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012751,https://cdn.gamemeca.com/gmdb/g001/27/51/gm349836_220808-6.jpg,"'더 모추어리 어시스턴트'는 어느 날 장의사 견습생이 시신 방부 처리를 위해 늦은 밤 영안실에 가면서 생기는 이야기를 다루고 있다. 플레이어는 방부 처리 체크 리스트를 확인하며 절차대로 작업을 해야 하는데, 이 과정에서 초자연적 현상을 겪게 된다."
6,룸 오브 디프레션,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012750,https://cdn.gamemeca.com/gmdb/g001/27/50/gm893354_220802-risell-uu10.jpg,"‘룸 오브 디프레션'은 우울증을 앓고 있는 직장인 ‘문’의 일상을 다룬다. ‘문’은 평범한 도시에서 살아가는 직장인이지만 그녀의 삶은 평범하지 않다. ‘문’은 우울증을 앓고 있으며, 평범한 일상도 낯설게 느껴진다. 플레이어는 게임을 통해 ‘문’의 일상을 경험할 수 있으며, 게임 속 크고 작은 사건이 주인공에게 각기 다른 영향을 미친다"
7,프로젝트 L,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012749,https://cdn.gamemeca.com/gmdb/g001/27/49/gm783288_220802-risell-uu3.jpg,"프로젝트 L은 2016년에 라이엇게임즈가 인수한 래디언트 엔터테인먼트 창업자인 톰과 토니 캐넌 형제가 개발 중인 대전격투신작이다. 카툰 랜더링 그래픽에, 캐릭터 2명이 팀을 이뤄 싸우는 태그 방식 게임이다. 태그를 통해 콤보를 연결할 수 있고, 간단한 커맨드로 스킬을 쓰는 것도 가능하다. 아울러 온라인 멀티플레이를 지원하며, 온라인 플레이에서도 일관된 컨트롤을 유지할 수 있는 롤백 넷코드를 지원한다."
8,히트2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012748,https://cdn.gamemeca.com/gmdb/g001/27/48/gm686381_220728-risell-yy10.jpg,"히트2는 원작 히트의 세계관을 이어가면서도, 공성전과 대규모 필드 전투를 핵심으로 한 MMORPG다. 조율자의 제단, 크리에이터 후원 프로그램 등 독자적인 이용자 참여형 시스템을 갖춰 보다 확장된 게임 플레이 경험을 선사할 계획이다."
9,사피엔스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012747,https://cdn.gamemeca.com/gmdb/g001/27/47/gm158181_220727-2.jpg,"'사피엔스'는 선사시대를 배경으로 여러 부족 중 하나를 선택해 그들을 이끌고 발전시켜 작은 부락에서 시작해 거대한 도시를 건설할 수 있다. 이 과정에서 사냥이나 채집, 농업이나 건설 등 다양한 방법을 통해 부족을 성장시킨다. "
10,멀티버서스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012746,https://cdn.gamemeca.com/gmdb/g001/27/46/gm761910_220808-8.jpg,"'멀티버서스'는 난투형 액션 게임으로, 워너 브라더스 소속의 캐릭터들이 모여 난투를 벌인다. 자세한 내용은 추후 공개될 예정이다."
11,베일 오어 제일,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012745,https://cdn.gamemeca.com/gmdb/g001/27/45/gm308650_220722-3.jpg,"베일 오어 제일은 데바데와 같은 비대칭 PvP 게임으로, 인간과 몬스터로 구분된다. 인간 플레이어는 3명, 몬스터는 1명이 배치되어 대결하며, 인간은 몬스터를 피해 도망다니고, 몬스터는 인간을 모두 잡아 감옥에 넣어야 한다. 인간은 갖고 있는 랜턴을 이용해 위험한 순간 몬스터를 기절시킬 수 있고, 몬스터는 벽을 통과하거나 발자국을 감지하는 등의 특수능력을 지녔다."
12,서머너즈 워: 크로니클,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012740,https://cdn.gamemeca.com/gmdb/g001/27/40/gm770780_220720-risell-uu7.jpg,서머너즈 워: 크로니클은 소환수와 소환수 조합을 통한 팀 전략으로 압축되는 서머너즈 워 특징에 MMORPG 콘텐츠를 더해 규모를 키웠다. 이용자가 소환사로 등장해 소환수 3종과 팀을 이뤄 전략을 펼친다. 이를 통해 서머너즈 워에서 맛볼 수 있었던 전술적인 면모를 MMORPG에서도 제공할 계획이다
13,더 루커,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012739,https://cdn.gamemeca.com/gmdb/g001/27/39/gm123901_220719-4.jpg,더 루커의 기본 규칙은 시작과 끝으로 표시된 퍼즐 판에서 두 단어 사이를 잇는 선을 그리는 것이다. 별도 안내가 없는 주변 환경이나 퍼즐을 풀어나가는 모습이 2016년에 출시된 더 위트니스를 떠오르게 한다. 게임 설명에 따르면 55개 이상의 퍼즐이 준비되어 있다고 한다.
14,피파 23,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012738,https://cdn.gamemeca.com/gmdb/g001/27/38/gm872728_220719-risell-yy3.jpg,"피파 23은 EA스포츠 대표 축구게임 시리즈 '피파'의 최신작이다. 피파라는 이름으로 나오는 마지막 타이틀로, 내년부터는 EA 스포츠 FC라는 새로운 타이틀을 사용한다. 얼티밋 에디션 표지모델로 시리즈 사상 최초로 남녀 선수가 선정됐다."
15,네크로스미스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012736,https://cdn.gamemeca.com/gmdb/g001/27/36/gm680973_220718-3.jpg,"네크로스미스는 지난 14일 스팀에 출시된 신작으로, 네크로맨서가 되어 언데드를 소환하며 적들을 물리치고, 탑을 지키며 업그레이드하는 과정을 다룬 디펜스 게임이다. 특이한 점은 5가지 부위를 조합해 나만의 언데드를 소환할 수 있으며, 조합에 따라 각양각새의 소환수가 등장한다. "
16,파워 워시 시뮬레이터,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012735,https://cdn.gamemeca.com/gmdb/g001/27/35/gm831716_220715-2.jpg,"'파워 워시 시뮬레이터'는 타이틀 이름처럼 강력한 고압세척기를 사용해 다양한 곳에 발생한 오염물을 청소하는 청소 시뮬레이션 게임이다. 하우스 플리퍼처럼 청소를 소재로 하고 있지만, 복잡한 방식 없이 세차 건처럼 생긴 도구로 물줄기만 쏘면 되는 것이 특징이다. 청소해야 할 소재나 상황에 따라 노즐, 세척액 등 적절한 장비를 사용해야 한다."
17,플래시드 플라스틱 덕 시뮬레이터,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012733,https://cdn.gamemeca.com/gmdb/g001/27/33/gm475750_220715-4.jpg,'플래시드 플라스틱 덕 시뮬레이터'의 목적은 떠다니는 고무 오리를 지켜보는 것 단 하나다. 처음에는 수영장에 노란색 고무 오리 하나만 있지만 시간이 지남에 따라 점차 늘어나는 오리들로 채워지는 모습을 볼 수 있다. 플레이어는 시점을 각 고무 오리의 시점으로 변경할 수 있으며 그 외 다른 조작은 할 수 없다. 
18,파라다이즈 프로젝트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012729,https://cdn.gamemeca.com/gmdb/g001/27/29/gm640438_220710-risell-pp4.jpg,"파라다이즈 프로젝트에서는 특수한 헤드샛을 씌워서 좀비를 길들일 수 있다. 이렇게 길들인 좀비는 자원 채집, 농작물 수확, 탐험, 전투 등에 활용할 수 있다. 좀비들이 농작물을 수확하거나, 탐험 도중 마주친 좀비와 맞서 싸우도록 할 수 있다. 좀비 아포칼립스지만 좀비를 생존수단 중 하나로 쓰는 셈이다."
19,언턴드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012728,https://cdn.gamemeca.com/gmdb/g001/27/28/gm651600_sero.jpg,언턴드는 좀비가 들끊는 세상에서 살아남는 서바이벌 생존게임이다. 플레이어는 식량과 무기를 구하고 몰려오는 좀비와 다른 플레이어로부터 생존해야 한다. 
20,북극의 낙원,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012727,https://cdn.gamemeca.com/gmdb/g001/27/27/gm269354_220708-risell-pp5.jpg,"북극의 낙원은 전세계 인디게임을 대상으로 진행하는 신작 발굴 프로젝트 '그라비티 인디 게임즈'를 통해 선보이는 퍼즐 게임이다. 손으로 그린 듯한 일러스트, 흰곰, 물범, 바닷새 등이 등장하는 평화로운 분위기를 앞세웠다. 북극 빙하를 무대로 스테이지 150개가 제공되며, 어미 곰이 빙하가 녹기 전에 다음 빙하로 이동해 최종적으로 새끼 곰이 있는 곳에 도착하면 스테이지가 완료된다."
21,셔터냥,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012726,https://cdn.gamemeca.com/gmdb/g001/27/26/gm669228_sero.jpg,셔터냥은 강풍에 휩쓸려 주인과 떨어진 고양이가 신비한 능력을 가진 카메라를 이용해 미지의 세계 속 난관을 극복하는 2D 횡스크롤 액션 게임이다. 플레이어는 사물을 복사할 수 있는 카메라를 활용해 발판을 만들거나 적을 공격하는 등 다채로운 방법으로 스테이지를 공략해 주인에게 돌아가야 한다.
22,네온 화이트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012725,https://cdn.gamemeca.com/gmdb/g001/27/25/gm303740_220707-risell-tt5.jpg,"네온 화이트를 한마디로 압축하면 스피드런에 초점을 맞춘 플랫포머다. 주인공은 천국의 악마를 잡는 암살자 ‘네온 화이트’가 되어 다른 암살자와 경쟁한다. 기본적으로는 1인칭 시점에, 장애물을 넘어 최대한 빨리 목적지에 도착하는 플랫포머 게임이다. "
23,신 하야리가미 3,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012724,https://cdn.gamemeca.com/gmdb/g001/27/24/gm421341_220630-risell-pp12.jpg,"신 하야리가미3는 도시괴담을 소재로 한 하야리가미 시리즈 최신작으로, 전작 직후의 이야기를 다룬다. 주인공 호죠 사키가 전작에서 파트너가 된 아이젠 세나, 전직 수사 1과 형사 니이미 신타로, 코케츠 마사오미와 팀을 이뤄 G현의 여러 괴사건을 수사한다. "
24,나의 이혼 이야기,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012723,https://cdn.gamemeca.com/gmdb/g001/27/23/gm981093_220630-risell-pp7.jpg,"나의 이혼 이야기는 실제 이혼재판 및 상담을 바탕으로 현직 변호사가 기획한 어드벤처 게임으로, 귀여운 그래픽과 달리, 부부 사이의 붕괴를 그리는 진지한 스토리를 앞세웠다."
25,헌터 W,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012722,https://cdn.gamemeca.com/gmdb/g001/27/22/gm422366_220628-risell-qq3.jpg,"헌터W는 수렵과 모험을 테마로 앞세운 MMORPG다. 헌터가 되어 펫과 함께 야생을 탐험하며 모험을 즐길 수 있다. 아울러 드래곤 사냥, 수십 개의 섬을 목표로 한 섬 쟁탈전 등을 제공한다."
26,포비아: 성 딘프나 호텔,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012721,https://cdn.gamemeca.com/gmdb/g001/27/21/gm394454_220628-risell-qq7.jpg,포비아: 성 딘프나 호텔은 의문스러운 실종 사건이 발생한 세인트 딘프나 호텔을 배경으로 한 공포 어드벤처 게임이다. 사건을 밝혀 특종을 터트리기 위해 호텔에 방문한 아마추어 기자 호베루트 레이치 로페스의 여정을 다룬다.
27,F1 22,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012720,https://cdn.gamemeca.com/gmdb/g001/27/20/gm308449_220628-risell-qq5.jpg,F1 22는 F1 월드 챔피언십 공식 라이선스를 기반으로 한 레이싱 게임이다. 드라이버 20명과 10개팀으로 구성된 라인업을 바탕으로 새롭게 설계된 차를 운전하며 레이싱 대회를 경험할 수 있다.
28,하베스텔라,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012715,https://cdn.gamemeca.com/gmdb/g001/27/15/gm510003_sero.jpg,"스퀘어에닉스가 선보이는 신작 게임으로, 이세계를 무대로 펼쳐지는 농사 시뮬레이션에 모험을 더했다. 플레이어는 레테 마을에서 농사를 짓거나, 공예품 혹은 요리를 만들 수 있다. 다른 마을과 교류할 수 있으며, 사나운 몬스터와 전투를 진행하기도 한다. 이 밖에 동물도 키울 수 있으며, 일부 몬스터와 교감도 나눈다."
29,코드: 투 진융,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012714,https://cdn.gamemeca.com/gmdb/g001/27/14/gm814799_220628-risell-tt2.jpg,"코드: 투 진융은 중국 무협소설가 진융(김용)의 무협소설 시리즈를 기반으로 한 오픈월드 신작이다.  텐센트 산하 게임 개발사 라이트스피드 스튜디오가 개발 중이며, 언리얼 엔진 5를 기반으로 고대 중국을 배경으로 한 오픈월드를 선보이며, 양궈, 차오펑, 링후 총 등 무협소설 인물 다수가 등장한다.
"
30,배틀비트 리마스터드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012713,https://cdn.gamemeca.com/gmdb/g001/27/13/gm634305_220622-risell-yy13.jpg,"배틀비트 리마스터드는 대규모 멀티플레이를 특징으로 앞세운 저사양 FPS다. 최대 254명이 대결하는 127 대 127 모드를 지원하며, 차량, 보트, 전투기 등도 활용할 수 있다. 아울러 전투병, 의무병, 엔지니어 등으로 구분된 병과도 있다. 전체적으로 배틀필드와 스쿼드를 섞어놓은 듯한 게임성이다."
31,세븐나이츠 레볼루션,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012712,https://cdn.gamemeca.com/gmdb/g001/27/12/gm206973_220622-risell-yy11.jpg,"세븐나이츠 레볼루션은 넷마블 대표 IP 세븐나이츠를 기반으로 한 신작으로, 세븐나이츠 영웅들이 사라진 후 혼돈의 세상을 구하기 위해 설립된 기사단의 이야기를 다룬다. 세븐나이츠 특유의 연출과 그래픽에 다양한 무기 사용과 영웅변신 등을 통해 차별화된 재미를 보여줄 계확이다. 여기에 여러 이용자가 함께 성장하고 경쟁하며 모험을 즐길 수 있다."
32,천애명월도M,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012711,https://cdn.gamemeca.com/gmdb/g001/27/11/gm734024_220622-risell-yy7.jpg,"‘천애명월도M’은 소설가 고룡의 ‘천애명월도’를 기반으로 제작된 모바일 MMORPG다. 1대1 논검, 송림전장, 한해난투 등 5대5 단체전을 비롯, 100인 생존 PvP 등 다양한 이용자 간 대결모드를 경험할 수 있다. "
33,타임 온 프로그 아일랜드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012709,https://cdn.gamemeca.com/gmdb/g001/27/09/gm937987_sero.jpg,"타임 온 프로그 아일랜드는 샌드박스 어드벤처 장르로, 개구리가 가득한 동화 같은 미지의 섬에서 일어나는 일을 그렸다. 끔찍한 폭풍에 휩쓸린 플레이어는 상냥한 개구리들이 사는 낙원의 땅에서 깨어나고, 이곳에서 개구리를 도우며 배를 수리할 재료들을 모으게 된다. "
34,돌연변이 닌자 거북이: 슈레더의 복수,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012708,https://cdn.gamemeca.com/gmdb/g001/27/08/gm210340_220617-risell-yy4.jpg,"닌자 거북이: 슈레더의 복수는 80년대 아케이드 액션 게임 감성을 앞세웠다. 레오나르도, 미켈란젤로, 도나텔로, 라파엘까지 닌자 거북이 4인방이 원작 주요 장소를 배경으로 적들을 물리치는 여정을 다룬다. 여기에 스플린터와 에이프릴도 플레이 캐릭터로 등장한다. 캐릭터마다 고유한 기술과 특수기가 존재한다. 아울러 6인 동시 플레이를 지원하기에 친구와 함께 즐기는 것도 가능하다. "
35,파이널 판타지 7 리버스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012707,https://cdn.gamemeca.com/gmdb/g001/27/07/gm937154_1276234_01_ff7rebirth_ss01.jpg,"파이널 판타지 7 리버스는 2020년 출시된 파이널 판타지 7 리메이크의 뒤를 잇는 작품으로, 총 3부작으로 구성된 리메이크 시리즈의 두 번째 게임이다"
36,드래곤즈 도그마 2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012706,https://cdn.gamemeca.com/gmdb/g001/27/06/gm669766_220617-risell-yy2.jpg,드래곤즈 도그마 2는 2012년에 발매된 드래곤즈 도그마 후속작이다. 전작 제작진이 참여하며 캡콤 RE 엔진을 기반으로 제작된다.
37,알비온 온라인,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012704,https://cdn.gamemeca.com/gmdb/g001/27/04/gm720509_220620-3.jpg,'알비온 온라인'은 샌드박스 인터렉티브에서 제작한 샌드박스 MMORPG로 제한없이 자유로운 아이템 착용과 유저들에 의해 경제시스템이 돌아가는 것이 특징이다.
38,와룡: 폴른 다이너스티,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012702,https://cdn.gamemeca.com/gmdb/g001/27/02/gm414658_220620-7.jpg,"와룡: 폴른 다이너스티는 중국 후한 말 삼국지 세계에 요마가 창궐하며 벌어지는 오리지널 스토리를 다룬다. 이름 없는 의용병이 되어 다양한 검극 액션으로 난세에 맞서게 되며, 관우, 장비, 여포 등 삼국지 주요 캐릭터들과도 관계를 맺게 된다. "
39,마인크래프트 레전드,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012701,https://cdn.gamemeca.com/gmdb/g001/27/01/gm170800_220620-9.jpg,'마인크래프트 레전드'는 마인크래프트 세계관과 게임 스타일을 활용해 제작한 액션 전략게임으로 평화롭던 오버월드에 네더 몬스터 피글린들이 떼거지로 침입하면서 플레이어가 이를 막는 내용을 그리고 있다. 
40,원피스 오디세이,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012700,https://cdn.gamemeca.com/gmdb/g001/27/00/gm672869_220620-13.jpg,"'원피스 오디세이'는 원피스 연재 25주년을 기념한 턴제 액션 RPG다. 사우전드 써니호를 타고 위대한 항로를 항해 중이던 밀짚모자 해적단이 높은 탑이 여럿 있는 섬을 찾게 되고, 갑작스레 발생한 녹 업 스트림으로 인해 하늘로 날아가는 장면이 나온다. 프랑키와 나미의 기지, 각 멤버들의 능력으로 가까스로 섬에 불시착한 그들은 망가진 써니호를 고치기 위해 섬을 여행하게 된다. "
41,쿼리,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012699,https://cdn.gamemeca.com/gmdb/g001/26/99/gm474326_220610-risell-qq4.jpg,"쿼리는 언틸 던, 더 다크 픽쳐스 시리즈 등을 선보인 슈퍼매시브 게임즈의 공포 신작이다. 마을에 방문한 10대 여름캠프 지도교사 9명이 마을 주민과 괴생명체의 추격을 피해 밤부터 해가 뜰 때까지 살아남는 과정을 다룬다."
42,염소 시뮬레이터 3,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012698,https://cdn.gamemeca.com/gmdb/g001/26/98/gm628975_220620-15.jpg,'염소 시뮬레이터 3'는 염소를 조종해 거리를 파괴하는 동시에 온갖 숨겨진 것을 찾는 게임으로 독특한 물리 엔진과 염소의 혀를 이용한 움직임으로 컬트적인 인기를 얻은 '염소 시뮬레이터'의 후속작이다.
43,더 라스트 오브 어스 파트 1,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012697,https://cdn.gamemeca.com/gmdb/g001/26/97/gm260941_220620-17.jpg,"'더 라스트 오브 어스 파트 1'은 PS5에서도 원작을 즐기고 싶은 유저들을 위해 개발됐다. 파트 2의 모델링을 참고해 캐릭터와 맵 외형을 전부 교체했으며, 덕분에 훨씬 생동감 넘치는 캐릭터들의 표정 변화와 움직임을 만나볼 수 있다."
44,스톰게이트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012696,https://cdn.gamemeca.com/gmdb/g001/26/96/gm572674_220620-21.jpg,'스톰게이트'는 이상 기후로 인해 폐허가 된 미래의 지구를 배경으로 한 실시간 전략 시뮬레이션(RTS)게임으로 스타크래프트 2를 제작한 팀 모튼과 블리자드 출신 개발자 다수가 참여했다.
45,이블 웨스트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012695,https://cdn.gamemeca.com/gmdb/g001/26/95/gm206458_sero.jpg,이블 웨스트는 미국의 개척지인 서부 지역을 주 무대로 펼쳐진다. 뱀파이어 퇴치 기관의 마지막 요원이 되어 플레이어는 피를 갈망하는 흡혀귀들로부터 자국민을 보호해야 한다. 서부 총잡이를 상징하는 리볼버와 윈체스터를 포함한 다양한 총과 전기가 하르는 건틀릿으로 전투에 나선다. 
46,프리스타일 풋볼2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012694,https://cdn.gamemeca.com/gmdb/g001/26/94/gm341405_220608-risell-yy10.jpg,"프리스타일 풋볼2는  3on3 프리스타일 후 6년만에 발표된 프리스타일 시리즈 신작이다. 조이시티 개발 자회사 우레 대표이자, 프리스타일 시리즈 창시자인 김명수 대표가 지휘봉을 잡았다. 언리얼 엔진 5를 기반으로 한 그래픽과 갈라게임즈와 협업한 블록체인 및 NFT를 선보인다."
47,러브 딜리버리,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012693,https://cdn.gamemeca.com/gmdb/g001/26/93/gm893562_220608-risell-yy1.jpg,러브 딜리버리는 '찐따의 진짜 사랑이야기'를 표방한 미소녀 연애 시뮬레이션 게임이다. 암울한 과거를 지닌 주인공이 우연히 히로인과 마주치고 연애하며 성장하는 과정을 다룬다.
48,F1 매니저 2022,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012692,https://cdn.gamemeca.com/gmdb/g001/26/92/gm680791_sero.jpg,F1 매니저 2022는 100년이 넘는 역사를 자랑하는 세계 최고의 모터스포츠 대회 포뮬러 1의 공식 라이선스를 활용해 제작된 매니지먼트 시뮬레이션 게임이다. 플레이어는 F1의 한 팀을 이끌어 치밀한 운영전략을 펼쳐야 하고 팀의 장기적인 계획도 세워야 한다.
49,이스케이프 프롬 타르코프 아레나,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012691,https://cdn.gamemeca.com/gmdb/g001/26/91/gm686520_220620-23.jpg,"'이스케이프 프롬 타르코프 아레나'는 전작과 마찬가지로 1인칭 슈팅 게임이며, 시리즈의 핵심이라 할 수 있는 다양한 무기 및 장비 제작 기능, 하드코어한 재료 수집 요소 등이 포함돼 있다. 넓은 오픈필드에서 서바이벌 게임을 벌였던 전작과 달리, 타르코프 시에 있는 실내 경기장에서 여러 인원들이 로마시대 검투사 마냥 전투를 펼치는 것이 이번 작품의 주요 골자다."
50,낚시 천국,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012690,https://cdn.gamemeca.com/gmdb/g001/26/90/gm955650_220607-risell-yy9.jpg,"낚시 천국은 곰아저씨 레스토랑 후속작으로, 낚시를 소재로 한 어드벤처 게임이다.  기억을 잃은 주인공이 수수께끼의 파랑새와 낚시를 하며 기억을 찾아가는 이야기를 그린다. 그 과정에서 만난 캐릭터들과 교류하는 과정에서 진정한 천국이 무엇인가에 대해 고민하게 된다. 곰아저씨 레스토랑에서 특징으로 앞세웠던 도트 그래픽도 여전하다."
